order_code,bom_category,issue_pool,allocated_qty,uom
BS-ET-16284,Paint Epoxy Primer,Epoxy Set,155.81,Gram
BS-ET-16284,Epoxy Thinner,Epoxy Set,32.92,Gram
BS-ET-16284,Epoxy Hardner,Epoxy Set,30.72,Gram
BS-ET-16284,Paint Mixing,Paint Mixing,50.08,Gram
BS-ET-16284,Paint Matt agent(Matt),Paint Matt Agent,25.04,Gram
BS-ET-16284,Paint Harnder,Paint Harnder,25.04,Gram
BS-ET-16284,Paint Thinner,Paint Thinner,20.27,Gram
BS-ET-16284,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16290,Paint Epoxy Primer,Epoxy Set,407.8,Gram
BS-ET-16290,Epoxy Thinner,Epoxy Set,80.32,Gram
BS-ET-16290,Epoxy Hardner,Epoxy Set,123.58,Gram
BS-ET-16290,Paint Mixing,Paint Mixing,143.02,Gram
BS-ET-16290,Paint Matt agent(Matt),Paint Matt Agent,78.56,Gram
BS-ET-16290,Paint Harnder,Paint Harnder,70.5,Gram
BS-ET-16290,Paint Thinner,Paint Thinner,40.29,Gram
BS-ET-16290,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16294,Paint Epoxy Primer,Epoxy Set,155.81,Gram
BS-ET-16294,Epoxy Thinner,Epoxy Set,32.92,Gram
BS-ET-16294,Epoxy Hardner,Epoxy Set,30.72,Gram
BS-ET-16294,Paint Mixing,Paint Mixing,50.08,Gram
BS-ET-16294,Paint Matt agent(Matt),Paint Matt Agent,25.04,Gram
BS-ET-16294,Paint Harnder,Paint Harnder,25.04,Gram
BS-ET-16294,Paint Thinner,Paint Thinner,20.27,Gram
BS-ET-16294,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16271-B,Paint Epoxy Primer,Epoxy Set,552.53,Gram
BS-ET-16271-B,Epoxy Thinner,Epoxy Set,116.73,Gram
BS-ET-16271-B,Epoxy Hardner,Epoxy Set,108.95,Gram
BS-ET-16271-B,Paint Mixing,Paint Mixing,177.59,Gram
BS-ET-16271-B,Paint Matt agent(Matt),Paint Matt Agent,88.8,Gram
BS-ET-16271-B,Paint Harnder,Paint Harnder,88.8,Gram
BS-ET-16271-B,Paint Thinner,Paint Thinner,71.88,Gram
