code,total_area,surface_area,bom_total_cost,bom_source
BS-US-2482 B,14.17,3.19,7379.00,"Paint Epoxy Primer 777.53 Gram, Epoxy Thinner 164.27 Gram, Epoxy Hardner 153.32 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 267.76 Gram, Paint Matt agent(Matt) 83.3 Gram, Paint Binder(Gloss) 53.55 Gram, Paint Harnder 136.86 Gram, Paint Thinner 53.55 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 7,379.00"
BS-US-2482 A,10.1,2.1,5274.00,"Paint Epoxy Primer 555.89 Gram, Epoxy Thinner 117.44 Gram, Epoxy Hardner 109.61 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 191.43 Gram, Paint Matt agent(Matt) 59.56 Gram, Paint Binder(Gloss) 38.29 Gram, Paint Harnder 97.84 Gram, Paint Thinner 38.29 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 5,274.00"
BS-ET-16107,3.17,3,,0
BS-ET-16240,1.95,0.38,0.00,"Paint Epoxy Primer 0 Gram, Epoxy Thinner 0 Gram, Epoxy Hardner 0 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 0.00"
BS-ET-16204,1.22,0.3,836.42,"Paint Epoxy Primer 93.35 Gram, Epoxy Thinner 19.72 Gram, Epoxy Hardner 18.41 Gram, Paint Mixing 30.01 Gram, Paint Matt agent(Matt) 15 Gram, Paint Harnder 15 Gram, Paint Thinner 12.15 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 836.42"
BS-ET-16207-B,18.22,2.23,4599.10,"Paint Epoxy Primer 466.58 Gram, Epoxy Thinner 98.57 Gram, Epoxy Hardner 92 Gram, Paint Mixing 149.97 Gram, Paint Matt agent(Matt) 74.98 Gram, Paint Harnder 74.98 Gram, Paint Thinner 60.7 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 4,599.10"
BS-S.C-16201,7.88,7.88,5021.00,"Paint Epoxy Primer 560.39 Gram, Epoxy Thinner 118.39 Gram, Epoxy Hardner 110.5 Gram, Paint Mixing 180.12 Gram, Paint Matt agent(Matt) 90.06 Gram, Paint Harnder 90.06 Gram, Paint Thinner 72.91 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 5,021.00"
BS-ET-16207-A,15.63,2.24,4603.50,"Paint Epoxy Primer 467.06 Gram, Epoxy Thinner 98.67 Gram, Epoxy Hardner 92.1 Gram, Paint Mixing 150.12 Gram, Paint Matt agent(Matt) 75.06 Gram, Paint Harnder 75.06 Gram, Paint Thinner 60.76 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 4,603.50"
BS-SI-16182,8,10.28,5300.00,"Paint Epoxy Primer 591.63 Gram, Epoxy Thinner 124.99 Gram, Epoxy Hardner 116.66 Gram, Paint Mixing 190.16 Gram, Paint Matt agent(Matt) 95.08 Gram, Paint Harnder 95.08 Gram, Paint Thinner 76.97 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 5,300.00"
BS-SI-16181,3.75,1.08,850.00,"Paint Epoxy Primer 94.87 Gram, Epoxy Thinner 20.04 Gram, Epoxy Hardner 18.71 Gram, Paint Mixing 30.49 Gram, Paint Matt agent(Matt) 15.25 Gram, Paint Harnder 15.25 Gram, Paint Thinner 12.34 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 850.00"
BS-ET-16207-C,18.22,2.23,4599.10,"Paint Epoxy Primer 466.58 Gram, Epoxy Thinner 98.57 Gram, Epoxy Hardner 92 Gram, Paint Mixing 149.97 Gram, Paint Matt agent(Matt) 74.98 Gram, Paint Harnder 74.98 Gram, Paint Thinner 60.7 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 4,599.10"
BS-ET-16227,1.94,0.48,850.00,"Paint Epoxy Primer 94.87 Gram, Epoxy Thinner 20.04 Gram, Epoxy Hardner 18.71 Gram, Paint Mixing 30.49 Gram, Paint Matt agent(Matt) 15.25 Gram, Paint Harnder 15.25 Gram, Paint Thinner 12.34 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 850.00"
BS-ET-16220,1.48,1.27,850.00,"Paint Epoxy Primer 94.87 Gram, Epoxy Thinner 20.04 Gram, Epoxy Hardner 18.71 Gram, Paint Mixing 30.49 Gram, Paint Matt agent(Matt) 15.25 Gram, Paint Harnder 15.25 Gram, Paint Thinner 12.34 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 850.00"
BS-QS-16199,16,9.21,5772.00,"Paint Epoxy Primer 644.1 Gram, Epoxy Thinner 136.08 Gram, Epoxy Hardner 127 Gram, Paint Mixing 207.02 Gram, Paint Matt agent(Matt) 103.51 Gram, Paint Harnder 103.51 Gram, Paint Thinner 83.79 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 5,772.00"
BS-LHET-302,0.97,0.76,1396.00,"Paint Epoxy Primer 155.81 Gram, Epoxy Thinner 32.92 Gram, Epoxy Hardner 30.72 Gram, Paint Mixing 50.08 Gram, Paint Matt agent(Matt) 25.04 Gram, Paint Harnder 25.04 Gram, Paint Thinner 20.27 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 1,396.00"
BS-SM-16213 (Bulk),4,2.59,3991.00,"Paint Epoxy Primer 445.5 Gram, Epoxy Thinner 94.12 Gram, Epoxy Hardner 87.84 Gram, Paint Mixing 143.19 Gram, Paint Matt agent(Matt) 71.59 Gram, Paint Harnder 71.59 Gram, Paint Thinner 57.96 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 3,991.00"
BS-S.inc-16210,4,2.33,1396.00,"Paint Epoxy Primer 155.81 Gram, Epoxy Thinner 32.92 Gram, Epoxy Hardner 30.72 Gram, Paint Mixing 50.08 Gram, Paint Matt agent(Matt) 25.04 Gram, Paint Harnder 25.04 Gram, Paint Thinner 20.27 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,396.00"
BS-ET-16207-D,0.77,0.24,857.00,"Paint Epoxy Primer 95.83 Gram, Epoxy Thinner 20.25 Gram, Epoxy Hardner 18.9 Gram, Paint Mixing 30.8 Gram, Paint Matt agent(Matt) 15.4 Gram, Paint Harnder 15.4 Gram, Paint Thinner 12.47 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 857.00"
BS-ET-16207-E,0.77,0.24,857.00,"Paint Epoxy Primer 95.83 Gram, Epoxy Thinner 20.25 Gram, Epoxy Hardner 18.9 Gram, Paint Mixing 30.8 Gram, Paint Matt agent(Matt) 15.4 Gram, Paint Harnder 15.4 Gram, Paint Thinner 12.47 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 857.00"
BS-SI-16168,6.25,5.57,,0
BS-ET-16244,5.01,5.03,,0
BS-LHET-296,1.78,1.4,1134.00,"Paint Epoxy Primer 126.49 Gram, Epoxy Thinner 26.72 Gram, Epoxy Hardner 24.94 Gram, Paint Mixing 40.66 Gram, Paint Matt agent(Matt) 20.33 Gram, Paint Harnder 20.33 Gram, Paint Thinner 16.46 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 1,134.00"
BS-ET-16202,17.5,3.03,3499.11,"Paint Epoxy Primer 390.54 Gram, Epoxy Thinner 82.51 Gram, Epoxy Hardner 77.01 Gram, Paint Mixing 125.53 Gram, Paint Matt agent(Matt) 62.76 Gram, Paint Harnder 62.76 Gram, Paint Thinner 50.81 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 3,499.11"
BS-ET-16222,7.92,3.15,3491.00,"Paint Epoxy Primer 389.73 Gram, Epoxy Thinner 82.34 Gram, Epoxy Hardner 76.85 Gram, Paint Mixing 125.26 Gram, Paint Matt agent(Matt) 62.63 Gram, Paint Harnder 62.63 Gram, Paint Thinner 50.7 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 3,491.00"
