code,odoo_id,name,brand,manufacturer_code,conventional_name,bom_category,issue_pool,uom,density_kg_per_l,rate_per_uom,min_level,legacy_category,pantone_ref
2247,502131,2k Nexa Adjuster (P190-376) 2.5L,Nexa,,,Paint Binder(Gloss),Paint Binder,Gram,0.9476,7.41,2500,Paints / Paint Colors / 2K Paint / Nexa,
2763,,4L NB 100 B/C BINDER,Nippon,,,Paint Binder(Gloss),Paint Binder,Gram,,3.66,3000,,
2169,,Base Coat Binder (Q065 As 3.7 Lttr,Base Coat Binder,,,Paint Binder(Gloss),Paint Binder,Gram,,4.34,3700,,
1003,,Plastic Primer,Generic,,,Paint Epoxy Primer,Epoxy Set,Gram,,1.18,1000,,
2158,,Epoxy Primer (F580-7938-20),Master,,,Paint Epoxy Primer,Epoxy Set,Gram,,7.79,3400,,
372,,1K Astar paint,Generic-1k Gobbis,,,Paint Epoxy Primer,Epoxy Set,Gram,,1.44,2000,,
1073,,2k PU Aster,Generic-2k PU,,,Paint Epoxy Primer,Epoxy Set,Gram,,0,2000,,
1145,,Epoxy Hardner,Master,,,Epoxy Hardner,Epoxy Set,Gram,,3.8,2000,,
244,,Master Epoxy Thinner,Master,,,Epoxy Thinner,Epoxy Set,Gram,,0.54,3000,,
292,,Abrasive Sand paper Roll 150',Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
289,,Emery Paper Sheet # 320,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
285,,Emery Paper Sheet # 400,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
239,,Emery Paper Sheet # 1000,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
229,,Regmar 80',Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
240,,Regmar 150',Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
514,,"Emery Paper Sheet 6"" X 9"" #2000 3m",Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
435,,Empty Box Large,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
1490,,Empty Box Small,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
937,,Disposable Glass 450ml,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
56,,Double Tape white,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
34,,Vinyl gloves,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
482,,tack cloth,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
53,,"Paper tape 1""",Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
388,,Paper Tape 2',Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
428,,Malmal Fabric,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
726,,Fiber Poteen,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
1053,,Silky cloth for paint,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
169,,yellow duster,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
8,,soft tissue,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
2268,502152,P850-1402/2.5L: SPIRIT WIPE,Nexa,,,Miscellaneous,Miscellaneous,Nos,0.716,,0,Paints / Paint Colors / 2K Paint / Nexa,
2254,502138,2k Nexa Clearcoat Superme 625 (P190-625) 1L,Nexa,,,Miscellaneous,Miscellaneous,Nos,0.92,,0,Paints / Paint Colors / 2K Paint / Nexa,
233,,paint remover,Generic-MISC,,,Miscellaneous,Miscellaneous,Nos,,,0,,
246,500215,P551-1051/2.06k-PolyPak Polyester Putty,Nexa,,,Miscellaneous,Miscellaneous,Nos,,,0,Paints / Stain & Polishing / Poteen,
