code,hex,lab_l,lab_a,lab_b
"PANTONE 284 C",#58AEE4,68,-10,-35
"PANTONE 285 C",#0076CE,47,-1,-56
"PANTONE 286 C",#0036A0,25,24,-65
"PANTONE 287 C",#003387,22,16,-54
"PANTONE 288 C",#003073,20,10,-45
"PANTONE 289 C",#002340,13,0,-22
"PANTONE 290 C",#B2DBEE,85,-9,-14
"PANTONE 2905 C",#80C8E8,77,-14,-23
"PANTONE 291 C",#92CBEA,79,-11,-21
"PANTONE 2915 C",#4AB6E6,70,-16,-33
"PANTONE 292 C",#52B5EA,70,-13,-35
"PANTONE 2925 C",#009DDE,60,-17,-44
"PANTONE 293 C",#0042A6,29,19,-62
"PANTONE 2935 C",#0059B6,37,8,-58
"PANTONE 294 C",#00326D,20,6,-41
"PANTONE 2945 C",#004E96,32,3,-47
"PANTONE 295 C",#002A56,16,2,-32
"PANTONE 2955 C",#003864,22,-2,-32
"PANTONE 296 C",#001C2D,9,-4,-15
"PANTONE 2965 C",#00253D,13,-5,-20
"PANTONE 297 C",#5FC5E8,75,-20,-26
"PANTONE 2975 C",#90D7EB,82,-17,-17
"PANTONE 298 C",#00B7E7,69,-22,-35
"PANTONE 2985 C",#41C5E8,74,-24,-28
"PANTONE 299 C",#00A3E0,62,-20,-42
"PANTONE 2995 C",#00AAE0,64,-23,-39
"PANTONE 300 C",#0060B6,39,4,-55
"PANTONE 3005 C",#0079C8,48,-5,-51
"PANTONE 301 C",#004E88,31,-2,-40
"PANTONE 3015 C",#00639B,39,-8,-39
"PANTONE 302 C",#003C5C,23,-7,-25
"PANTONE 3025 C",#005073,31,-11,-27
"PANTONE 303 C",#002A39,15,-10,-14
"PANTONE 3035 C",#004054,24,-13,-18
"PANTONE 304 C",#92DAE8,83,-19,-14
"PANTONE 305 C",#3FCBEA,76,-27,-26
"PANTONE 306 C",#00B6E2,68,-28,-34
"PANTONE 307 C",#006DA8,43,-9,-40
"PANTONE 308 C",#00587C,34,-12,-28
"PANTONE 309 C",#003B49,22,-14,-14
"PANTONE 310 C",#55D1E3,78,-29,-19
"PANTONE 3105 C",#56D2DF,78,-30,-17
"PANTONE 311 C",#00C4DF,72,-35,-26
"PANTONE 3115 C",#00C1D5,71,-37,-22
"PANTONE 312 C",#00A8CD,63,-28,-30
"PANTONE 3125 C",#00ACC7,64,-32,-25
"PANTONE 313 C",#0093BD,56,-22,-32
"PANTONE 3135 C",#008FAA,54,-26,-24
"PANTONE 314 C",#0080A5,49,-20,-29
"PANTONE 3145 C",#00798C,46,-24,-19
"PANTONE 315 C",#006980,40,-20,-21
"PANTONE 3155 C",#006473,38,-22,-16
"PANTONE 316 C",#004852,27,-18,-12
"PANTONE 3165 C",#005059,30,-20,-12
"PANTONE 317 C",#AEE4E5,87,-17,-6
"PANTONE 318 C",#7FDBE0,82,-26,-11
"PANTONE 319 C",#00CDD5,75,-39,-16
"PANTONE 320 C",#009CA8,58,-33,-17
"PANTONE 321 C",#008E97,53,-31,-15
"PANTONE 322 C",#007579,44,-28,-11
"PANTONE 323 C",#005F62,36,-24,-9
"PANTONE 324 C",#97DBD7,83,-22,-5
"PANTONE 3242 C",#66DBD7,81,-34,-8
"PANTONE 3245 C",#76E1D3,83,-34,-3
"PANTONE 3248 C",#69CCB8,76,-34,1
"PANTONE 325 C",#5CCCCB,76,-32,-9
"PANTONE 3252 C",#00D1CB,76,-44,-9
"PANTONE 3255 C",#07D5C6,77,-46,-5
"PANTONE 3258 C",#41C4B3,72,-39,-2
"PANTONE 326 C",#00B1AB,65,-41,-8
"PANTONE 3262 C",#00C0B5,70,-44,-6
"PANTONE 3265 C",#00C7B3,72,-47,-2
"PANTONE 3268 C",#00A98F,62,-44,3
"PANTONE 327 C",#008778,50,-36,-1
"PANTONE 3272 C",#00A39A,60,-39,-6
"PANTONE 3275 C",#00B29B,65,-45,1
"PANTONE 3278 C",#009C78,57,-44,9
"PANTONE 328 C",#007368,43,-31,-2
"PANTONE 3282 C",#008679,50,-35,-2
"PANTONE 3285 C",#009581,55,-39,1
"PANTONE 3288 C",#008265,48,-38,7
"PANTONE 329 C",#006860,39,-29,-3
"PANTONE 3292 C",#005B52,34,-27,-2
"PANTONE 3295 C",#007664,44,-34,2
"PANTONE 3298 C",#006C54,40,-33,6
"PANTONE 330 C",#00534B,31,-25,-2
"PANTONE 3302 C",#004B46,28,-23,-3
"PANTONE 3305 C",#004E42,29,-25,1
"PANTONE 3308 C",#00473A,26,-24,2
"PANTONE 331 C",#A2E7DB,87,-24,-1
"PANTONE 332 C",#88E2D0,84,-31,0
"PANTONE 333 C",#31DAC2,79,-47,0
"PANTONE 334 C",#009977,56,-43,8
"PANTONE 335 C",#00795F,45,-36,6
"PANTONE 336 C",#006650,38,-32,5
"PANTONE 337 C",#8CD5BC,80,-28,5
"PANTONE 3375 C",#7AE2C0,83,-38,7
"PANTONE 338 C",#6BCDB3,76,-35,4
"PANTONE 3385 C",#46D7AF,78,-48,9
"PANTONE 339 C",#00B38A,65,-49,10
"PANTONE 3395 C",#12C389,70,-54,18
"PANTONE 340 C",#119661,55,-46,19
"PANTONE 3405 C",#18AE68,63,-53,26
"PANTONE 341 C",#007A55,45,-39,12
"PANTONE 3415 C",#0E774A,44,-39,17
"PANTONE 342 C",#006748,38,-34,10
"PANTONE 3425 C",#026142,36,-33,11
"PANTONE 343 C",#135842,33,-27,7
"PANTONE 3435 C",#124634,26,-22,6
"PANTONE 344 C",#A3DCB5,83,-26,13
"PANTONE 345 C",#93D5AD,80,-29,13
"PANTONE 346 C",#73CA9A,75,-37,16
"PANTONE 347 C",#1D9A48,56,-51,34
"PANTONE 348 C",#17833E,48,-45,29
"PANTONE 349 C",#106A3A,39,-37,20
"PANTONE 350 C",#2E5335,32,-21,14
"PANTONE 3500 C",#136D33,40,-39,25
"PANTONE 3501 C",#57AC14,63,-49,61
"PANTONE 3506 C",#0063AD,40,0,-48
"PANTONE 3507 C",#BACF18,79,-27,76
"PANTONE 3508 C",#617732,47,-20,35
"PANTONE 351 C",#A4E6BC,86,-29,14
"PANTONE 3514 C",#FEB70F,79,14,80
"PANTONE 3515 C",#580D7C,23,49,-45
"PANTONE 3516 C",#DF3610,50,63,58
"PANTONE 3517 C",#C30816,41,65,47
"PANTONE 3519 C",#E2A7AE,74,23,5
"PANTONE 352 C",#92E3B2,84,-35,16
"PANTONE 3520 C",#AB7CC3,59,31,-30
"PANTONE 3522 C",#1B8935,50,-48,36
"PANTONE 3523 C",#732E33,29,31,12
"PANTONE 3524 C",#292A53,19,12,-25
"PANTONE 3526 C",#79959E,60,-8,-8
"PANTONE 3527 C",#D1459C,52,63,-18
"PANTONE 3529 C",#33A629,60,-55,52
"PANTONE 353 C",#82DFA7,82,-40,19
"PANTONE 3533 C",#62DAC7,80,-38,-1
"PANTONE 3534 C",#00B2A2,65,-43,-3
"PANTONE 3535 C",#2B0F84,18,45,-59
"PANTONE 3536 C",#137534,43,-42,28
"PANTONE 3537 C",#05481F,26,-30,19
"PANTONE 3538 C",#0098D6,58,-17,-43
"PANTONE 3539 C",#489B31,57,-45,46
"PANTONE 354 C",#28B247,64,-58,44
"PANTONE 3541 C",#00939E,55,-31,-16
"PANTONE 3542 C",#18187B,17,36,-55
"PANTONE 3543 C",#9B90D1,63,18,-32
"PANTONE 3544 C",#E2B8A9,78,13,13
"PANTONE 3545 C",#00BDE2,70,-31,-31
"PANTONE 3546 C",#D10C1B,44,68,48
"PANTONE 3547 C",#CB901A,64,13,64
"PANTONE 355 C",#21973D,55,-51,38
"PANTONE 3551 C",#00A6C6,62,-29,-28
"PANTONE 3553 C",#006FB4,44,-6,-46
"PANTONE 3555 C",#48257B,24,36,-43
"PANTONE 3556 C",#F03C32,54,67,48
"PANTONE 3557 C",#007D81,47,-29,-11
"PANTONE 3558 C",#869DD3,65,5,-30
"PANTONE 3559 C",#8855A9,45,37,-37
"PANTONE 356 C",#177B37,45,-43,29
"PANTONE 3560 C",#00A398,60,-40,-5
"PANTONE 3561 C",#83C217,72,-43,69
"PANTONE 3564 C",#F36A03,61,49,69
"PANTONE 3566 C",#3D2D73,24,26,-38
"PANTONE 3568 C",#F0CADC,85,16,-4
"PANTONE 357 C",#245835,33,-26,15
"PANTONE 3570 C",#BCD516,81,-29,78
"PANTONE 3572 C",#FF9EA2,75,37,13
"PANTONE 3574 C",#544880,34,19,-30
"PANTONE 3575 C",#8B74C3,54,26,-38
"PANTONE 3577 C",#82BADE,73,-9,-24
"PANTONE 358 C",#B2DB93,83,-26,31
"PANTONE 3581 C",#00336E,22,10,-38
"PANTONE 3582 C",#D176A8,61,42,-11
"PANTONE 3583 C",#442483,24,38,-48
"PANTONE 3584 C",#134180,28,10,-40
"PANTONE 3588 C",#FF942A,72,36,69
"PANTONE 359 C",#A7D786,81,-30,35
"PANTONE 3590 C",#1F59A1,38,8,-44
"PANTONE 3591 C",#00287C,18,20,-54
"PANTONE 3593 C",#936FB6,53,28,-32
"PANTONE 3595 C",#EFBFD6,82,21,-5
"PANTONE 3596 C",#E1BA8D,78,8,28
"PANTONE 3597 C",#003976,24,8,-40
"PANTONE 3599 C",#DDC086,79,2,33
"PANTONE 360 C",#77C04D,71,-43,50
"PANTONE 361 C",#50B02F,64,-51,54
"PANTONE 362 C",#5C9E34,59,-40,47
"PANTONE 363 C",#538D2E,53,-36,43
"PANTONE 364 C",#4F752A,45,-27,36
"PANTONE 365 C",#C8E18C,86,-22,39
"PANTONE 366 C",#BDDD7C,84,-26,44
"PANTONE 367 C",#ACD461,80,-31,52
"PANTONE 368 C",#82BC28,70,-40,63
"PANTONE 369 C",#6FA517,62,-38,60
"PANTONE 370 C",#6A8C20,54,-28,50
"PANTONE 371 C",#566123,39,-14,33
"PANTONE 372 C",#D9EB90,90,-20,42
"PANTONE 373 C",#D5E984,89,-22,47
"PANTONE 374 C",#CDE56F,87,-25,54
"PANTONE 375 C",#A0D513,79,-40,76
"PANTONE 376 C",#8FBD14,71,-36,69
"PANTONE 377 C",#80980D,59,-25,60
"PANTONE 378 C",#5D6220,40,-12,36
"PANTONE 379 C",#E9E56B,89,-14,59
"PANTONE 380 C",#E5E348,88,-17,72
"PANTONE 381 C",#D8DC1C,85,-21,81
"PANTONE 382 C",#CCD518,82,-22,79
"PANTONE 383 C",#ADAB11,68,-15,68
"PANTONE 384 C",#99910C,59,-10,61
"PANTONE 385 C",#7C7024,47,-5,42
"PANTONE 386 C",#F1EA6E,91,-13,60
"PANTONE 387 C",#EDE83C,90,-17,78
"PANTONE 388 C",#E9E62E,89,-18,81
"PANTONE 389 C",#DBDF1C,86,-21,82
"PANTONE 390 C",#BEBC13,74,-16,73
"PANTONE 391 C",#A29511,61,-8,62
"PANTONE 392 C",#887A0C,51,-6,54
"PANTONE 393 C",#F8EB77,92,-10,57
"PANTONE 3935 C",#FCEB63,92,-10,66
"PANTONE 394 C",#F7E940,91,-13,78
"PANTONE 3945 C",#FBE417,90,-10,87
"PANTONE 395 C",#F4E726,90,-14,84
"PANTONE 3955 C",#F8DE19,88,-8,85
"PANTONE 396 C",#E9DF17,87,-15,84
"PANTONE 3965 C",#F6DA1A,87,-7,84
"PANTONE 397 C",#C8B815,74,-10,73
"PANTONE 3975 C",#C0A40F,68,-3,69
"PANTONE 398 C",#B4A10F,66,-7,67
"PANTONE 3985 C",#A0870B,57,-2,60
"PANTONE 399 C",#A6900E,60,-4,62
"PANTONE 3995 C",#6A5B22,39,-1,34
"PANTONE 400 C",#C5C0B8,78,0,5
"PANTONE 4001 C",#EFDCA0,88,-2,32
"PANTONE 4002 C",#E3C684,81,1,37
"PANTONE 4003 C",#D7C99A,81,-2,25
"PANTONE 4004 C",#CEB77A,75,0,34
"PANTONE 4005 C",#C5AE7D,72,1,28
"PANTONE 4006 C",#BDA272,68,3,29
"PANTONE 4007 C",#B0955F,63,3,32
"PANTONE 4008 C",#FBB028,77,17,73
"PANTONE 4009 C",#F49C4A,72,26,55
"PANTONE 401 C",#AFABA2,70,0,5
"PANTONE 4010 C",#EB6A12,60,46,65
"PANTONE 4011 C",#E4774F,62,39,41
"PANTONE 4012 C",#ED723E,62,44,50
"PANTONE 4013 C",#CF6B29,56,35,52
"PANTONE 4014 C",#BB6949,53,30,32
"PANTONE 4015 C",#D9C767,80,-6,50
"PANTONE 4016 C",#DDBF40,78,-3,65
"PANTONE 4017 C",#E6B843,77,5,63
"PANTONE 4018 C",#D7B24B,74,2,56
"PANTONE 4019 C",#C7A850,70,1,49
"PANTONE 402 C",#9E9890,63,1,5
"PANTONE 4020 C",#C59F12,67,2,68
"PANTONE 4021 C",#B49237,62,3,51
"PANTONE 4022 C",#D4B480,75,4,31
"PANTONE 4023 C",#D8B46B,75,4,42
"PANTONE 4024 C",#D7AD68,73,7,41
"PANTONE 4025 C",#DBA04A,70,13,52
"PANTONE 4026 C",#C28B3F,62,13,48
"PANTONE 4027 C",#936322,46,13,43
"PANTONE 4028 C",#835F2A,43,9,35
"PANTONE 4029 C",#ECCDA5,84,5,24
"PANTONE 403 C",#8C857C,56,1,6
"PANTONE 4030 C",#F3C9AE,84,11,19
"PANTONE 4031 C",#EBCBBB,84,9,12
"PANTONE 4032 C",#F7CBC0,85,14,11
"PANTONE 4033 C",#F8BBAA,81,20,17
"PANTONE 4034 C",#CC9474,66,17,25
"PANTONE 4035 C",#C99674,66,15,25
"PANTONE 4036 C",#C19A97,67,14,7
"PANTONE 4037 C",#B57D77,58,21,12
"PANTONE 4038 C",#B37369,55,24,16
"PANTONE 4039 C",#AF6960,52,27,17
"PANTONE 404 C",#786E64,47,2,7
"PANTONE 4040 C",#986C67,50,17,10
"PANTONE 4041 C",#805D57,43,13,9
"PANTONE 4042 C",#795D53,42,10,10
"PANTONE 4043 C",#E1C4AE,81,7,15
"PANTONE 4044 C",#C5A18A,69,10,17
"PANTONE 4045 C",#BB9684,65,11,15
"PANTONE 4046 C",#B29681,64,7,15
"PANTONE 4047 C",#AE8D76,61,9,17
"PANTONE 4048 C",#A5826A,57,10,18
"PANTONE 4049 C",#988370,56,5,13
"PANTONE 405 C",#696259,42,1,6
"PANTONE 4050 C",#DBAC96,74,14,18
"PANTONE 4051 C",#E18979,66,32,23
"PANTONE 4052 C",#DB8878,65,30,22
"PANTONE 4053 C",#D17D6B,61,31,24
"PANTONE 4054 C",#AB543E,46,34,29
"PANTONE 4055 C",#A85547,46,33,24
"PANTONE 4056 C",#875047,40,22,15
"PANTONE 4057 C",#E4675C,59,48,30
"PANTONE 4058 C",#E74D55,55,60,29
"PANTONE 4059 C",#C53241,45,58,27
"PANTONE 406 C",#C4BDB9,77,2,3
"PANTONE 4060 C",#C03942,45,54,26
"PANTONE 4061 C",#BF6460,53,36,19
"PANTONE 4062 C",#A94545,43,41,21
"PANTONE 4063 C",#9D4234,40,37,27
"PANTONE 4064 C",#EAB3BA,78,21,4
"PANTONE 4065 C",#E4AEB1,76,20,6
"PANTONE 4066 C",#EBA09B,73,27,14
"PANTONE 4067 C",#EAA09F,73,27,12
"PANTONE 4068 C",#E79194,69,33,12
"PANTONE 4069 C",#C95161,51,49,16
"PANTONE 407 C",#B1A6A1,69,3,4
"PANTONE 4070 C",#B63D50,44,50,16
"PANTONE 4071 C",#CF8A9F,65,29,0
"PANTONE 4072 C",#E07C9B,64,42,1
"PANTONE 4073 C",#C94972,50,54,4
"PANTONE 4074 C",#7D1E4A,29,44,-3
"PANTONE 4075 C",#813751,34,35,0
"PANTONE 4076 C",#81445A,37,29,-1
"PANTONE 4077 C",#834856,38,27,3
"PANTONE 4078 C",#E4C3D6,82,15,-5
"PANTONE 4079 C",#CBA9C4,73,17,-9
"PANTONE 408 C",#968C87,59,3,4
"PANTONE 4080 C",#CCB0CB,75,15,-10
"PANTONE 4081 C",#AC90A9,63,15,-9
"PANTONE 4082 C",#A4668F,51,31,-12
"PANTONE 4083 C",#825C93,45,26,-24
"PANTONE 4084 C",#6D3E61,33,26,-12
"PANTONE 4085 C",#C8B8AF,76,4,7
"PANTONE 4086 C",#BBA6A8,70,8,2
"PANTONE 4087 C",#B79E97,67,8,7
"PANTONE 4088 C",#A88A81,60,10,9
"PANTONE 4089 C",#A28C88,60,8,5
"PANTONE 409 C",#867975,52,4,4
"PANTONE 4090 C",#917369,51,10,10
"PANTONE 4091 C",#7B5F5E,43,11,5
"PANTONE 4092 C",#C9A8B5,72,14,-2
"PANTONE 4093 C",#AF9195,63,12,2
"PANTONE 4094 C",#916A77,49,18,-1
"PANTONE 4095 C",#895B6A,44,21,-1
"PANTONE 4096 C",#784B4E,37,20,6
"PANTONE 4097 C",#734D51,37,17,4
"PANTONE 4098 C",#66463E,33,13,10
"PANTONE 4099 C",#AC8484,59,15,6
"PANTONE 410 C",#766764,45,5,4
"PANTONE 4100 C",#7E4F50,39,20,8
"PANTONE 4101 C",#632428,24,29,12
"PANTONE 4102 C",#561D24,20,27,9
"PANTONE 4103 C",#51252F,21,22,3
"PANTONE 4104 C",#543C3E,28,11,3
"PANTONE 4105 C",#673F34,31,16,14
"PANTONE 4106 C",#C4AAB3,72,11,-1
"PANTONE 4107 C",#A992A3,63,12,-6
"PANTONE 4108 C",#A38697,59,14,-5
"PANTONE 4109 C",#9E7A8B,55,17,-4
"PANTONE 411 C",#5E524D,36,4,5
"PANTONE 4110 C",#8A6F81,50,14,-6
"PANTONE 4111 C",#7D596C,42,18,-5
"PANTONE 4112 C",#8B6D73,49,13,1
"PANTONE 4113 C",#A28E92,61,8,1
"PANTONE 4114 C",#9B8D92,60,6,-1
"PANTONE 4115 C",#927F82,55,8,1
"PANTONE 4116 C",#998484,57,8,3
"PANTONE 4117 C",#6F6475,44,8,-8
"PANTONE 4118 C",#423A4E,26,8,-11
"PANTONE 4119 C",#3D3A44,25,4,-6
"PANTONE 412 C",#383130,21,3,2
"PANTONE 4120 C",#B3ACD1,72,10,-18
"PANTONE 4121 C",#958EB6,61,11,-20
"PANTONE 4122 C",#6E6EB1,49,17,-36
"PANTONE 4123 C",#A2A8BC,69,2,-11
"PANTONE 4124 C",#8B92B1,61,4,-17
"PANTONE 4125 C",#5A5D77,40,5,-15
"PANTONE 4126 C",#4C4164,30,13,-19
"PANTONE 4127 C",#7A8196,54,2,-12
"PANTONE 4128 C",#6A7284,48,1,-11
"PANTONE 4129 C",#647180,47,-1,-10
"PANTONE 413 C",#B9BDB4,76,-3,4
"PANTONE 4130 C",#4E5A6D,38,0,-12
"PANTONE 4131 C",#434C5C,32,1,-11
"PANTONE 4132 C",#383B4A,25,3,-10
"PANTONE 4133 C",#383B47,25,2,-8
"PANTONE 4134 C",#9FA3B0,67,1,-7
"PANTONE 4135 C",#74859C,55,-1,-14
"PANTONE 4136 C",#5E6F81,46,-2,-12
"PANTONE 4137 C",#415F77,39,-4,-17
"PANTONE 4138 C",#476273,40,-5,-13
"PANTONE 4139 C",#4A5B6D,38,-2,-12
"PANTONE 414 C",#A7AA9F,69,-3,5
"PANTONE 4140 C",#353C47,25,0,-8
"PANTONE 4141 C",#3364A2,42,4,-38
"PANTONE 4142 C",#2F5181,34,4,-31
"PANTONE 4143 C",#3B556F,35,-2,-18
"PANTONE 4144 C",#343C5C,26,6,-20
"PANTONE 4145 C",#2A344F,22,4,-18
"PANTONE 4146 C",#151F37,12,4,-17
"PANTONE 4147 C",#212342,15,9,-20
"PANTONE 4148 C",#5796B0,59,-13,-20
"PANTONE 4149 C",#83ABC6,68,-7,-18
"PANTONE 415 C",#929489,61,-3,6
"PANTONE 4150 C",#3B7EB8,51,-2,-37
"PANTONE 4151 C",#006AAF,42,-5,-46
"PANTONE 4152 C",#005494,34,0,-43
"PANTONE 4153 C",#004F89,32,0,-39
"PANTONE 4154 C",#004375,27,-1,-35
"PANTONE 4155 C",#B8CACE,80,-5,-4
"PANTONE 4156 C",#93C0CC,75,-12,-11
"PANTONE 4157 C",#5AAFC3,67,-20,-18
"PANTONE 4158 C",#247E96,49,-18,-20
"PANTONE 4159 C",#005782,34,-10,-32
"PANTONE 416 C",#7E8074,53,-3,6
"PANTONE 4160 C",#004960,28,-13,-20
"PANTONE 4161 C",#294B59,30,-8,-12
"PANTONE 4162 C",#A7D2C5,81,-17,2
"PANTONE 4163 C",#8DCABA,77,-23,2
"PANTONE 4164 C",#0A8074,48,-32,-2
"PANTONE 4165 C",#166A61,40,-26,-2
"PANTONE 4166 C",#3C7673,46,-20,-4
"PANTONE 4167 C",#2D655F,39,-20,-2
"PANTONE 4168 C",#1E4646,27,-14,-4
"PANTONE 4169 C",#B4C8C1,79,-8,1
"PANTONE 417 C",#64675D,43,-3,5
"PANTONE 4170 C",#A2BEBC,75,-10,-2
"PANTONE 4171 C",#99B9B8,73,-11,-3
"PANTONE 4172 C",#80B2AB,69,-18,-2
"PANTONE 4173 C",#7EC5C1,75,-23,-5
"PANTONE 4174 C",#7EC1C2,74,-21,-7
"PANTONE 4175 C",#8EBBC3,73,-13,-9
"PANTONE 4176 C",#C6CEC2,82,-5,5
"PANTONE 4177 C",#B9BDAE,76,-4,7
"PANTONE 4178 C",#A8AE99,70,-6,10
"PANTONE 4179 C",#98A582,66,-11,17
"PANTONE 418 C",#52534A,35,-2,5
"PANTONE 4180 C",#909980,62,-8,12
"PANTONE 4181 C",#748671,54,-11,9
"PANTONE 4182 C",#6A7867,49,-9,8
"PANTONE 4183 C",#B8C1B7,77,-5,4
"PANTONE 4184 C",#99AA9E,68,-8,4
"PANTONE 4185 C",#86A49C,65,-12,1
"PANTONE 4186 C",#658E89,56,-15,-2
"PANTONE 4187 C",#647C7A,50,-9,-2
"PANTONE 4188 C",#3F5C5C,37,-11,-3
"PANTONE 4189 C",#124B53,29,-15,-10
"PANTONE 419 C",#1F2221,13,-2,0
"PANTONE 4190 C",#A8B4A5,72,-7,6
"PANTONE 4191 C",#92A59D,66,-8,2
"PANTONE 4192 C",#839588,60,-9,5
"PANTONE 4193 C",#61685C,43,-5,6
"PANTONE 4194 C",#556462,41,-6,-1
"PANTONE 4195 C",#636667,43,-1,-1
"PANTONE 4196 C",#43555A,35,-6,-5
"PANTONE 4197 C",#8A9D91,63,-9,4
"PANTONE 4198 C",#6A7E72,51,-10,4
"PANTONE 4199 C",#586A5F,43,-9,4
"PANTONE 420 C",#C6CAC7,81,-2,1
"PANTONE 4200 C",#5A6C63,44,-9,3
"PANTONE 4201 C",#4F695E,42,-12,3
"PANTONE 4202 C",#384D47,31,-10,1
"PANTONE 4203 C",#2A4840,28,-13,1
"PANTONE 4204 C",#C3D2AA,82,-12,18
"PANTONE 4205 C",#ABC088,75,-17,26
"PANTONE 4206 C",#91AE83,68,-18,19
"PANTONE 4207 C",#7FA27A,63,-20,17
"PANTONE 4208 C",#3D7054,43,-24,10
"PANTONE 4209 C",#38594D,35,-15,3
"PANTONE 421 C",#B0B4B1,73,-2,1
"PANTONE 4210 C",#2F4F44,31,-15,3
"PANTONE 4211 C",#D4D997,85,-12,32
"PANTONE 4212 C",#8EAB43,66,-26,49
"PANTONE 4213 C",#6F8E36,55,-25,42
"PANTONE 4214 C",#5E7956,48,-17,16
"PANTONE 4215 C",#557041,44,-19,23
"PANTONE 4216 C",#405725,34,-18,26
"PANTONE 4217 C",#4D5D24,37,-16,30
"PANTONE 4218 C",#B0B69F,73,-6,11
"PANTONE 4219 C",#A6AB98,69,-5,9
"PANTONE 422 C",#9BA2A4,66,-2,-2
"PANTONE 4220 C",#888A79,57,-4,9
"PANTONE 4221 C",#7E7E62,52,-5,15
"PANTONE 4222 C",#757663,49,-4,10
"PANTONE 4223 C",#636853,43,-6,11
"PANTONE 4224 C",#3F4A38,30,-8,9
"PANTONE 4225 C",#8D8271,55,1,11
"PANTONE 4226 C",#868267,54,-3,15
"PANTONE 4227 C",#6C6952,44,-3,13
"PANTONE 4228 C",#5A553E,36,-2,14
"PANTONE 4229 C",#5E5D4C,39,-3,10
"PANTONE 423 C",#868D8F,58,-2,-2
"PANTONE 4230 C",#5A544D,36,1,5
"PANTONE 4231 C",#645E50,40,0,9
"PANTONE 4232 C",#DBCD16,81,-12,79
"PANTONE 4233 C",#C7BC13,75,-12,74
"PANTONE 4234 C",#C1C05E,76,-13,49
"PANTONE 4235 C",#B3B07E,71,-7,26
"PANTONE 4236 C",#C7BE6E,76,-8,41
"PANTONE 4237 C",#B0A463,67,-5,35
"PANTONE 4238 C",#918A54,57,-6,30
"PANTONE 4239 C",#C9C4B3,79,-1,9
"PANTONE 424 C",#707272,48,-1,0
"PANTONE 4240 C",#CBBDA4,77,1,14
"PANTONE 4241 C",#BEAC8A,71,1,20
"PANTONE 4242 C",#8B7751,51,2,24
"PANTONE 4243 C",#866A50,47,7,19
"PANTONE 4244 C",#7F6951,46,5,17
"PANTONE 4245 C",#5C5141,35,2,11
"PANTONE 4246 C",#CCC3AA,79,-1,14
"PANTONE 4247 C",#D4C1AA,79,3,14
"PANTONE 4248 C",#D8C3A9,80,3,16
"PANTONE 4249 C",#C5AD8C,72,4,20
"PANTONE 425 C",#515959,37,-3,-1
"PANTONE 4250 C",#BEA889,70,3,19
"PANTONE 4251 C",#BBA27B,68,3,24
"PANTONE 4252 C",#B9A286,68,4,18
"PANTONE 4253 C",#BCA48E,69,5,15
"PANTONE 4254 C",#C19972,66,10,26
"PANTONE 4255 C",#AF9878,64,4,20
"PANTONE 4256 C",#AD9173,62,6,20
"PANTONE 4257 C",#947C6F,54,7,11
"PANTONE 4258 C",#6E5D59,41,6,5
"PANTONE 4259 C",#302923,17,2,5
"PANTONE 426 C",#25282B,16,-1,-2
"PANTONE 4260 C",#D0A992,72,11,17
"PANTONE 4261 C",#A26E47,51,16,30
"PANTONE 4262 C",#AB714F,53,19,28
"PANTONE 4263 C",#B06F4C,53,22,30
"PANTONE 4264 C",#B07255,54,21,26
"PANTONE 4265 C",#9D644A,48,20,24
"PANTONE 4266 C",#9F603C,47,22,31
"PANTONE 4267 C",#C1B0A3,73,4,9
"PANTONE 4268 C",#B59F8E,67,5,12
"PANTONE 4269 C",#AC9178,62,6,17
"PANTONE 427 C",#CED2D5,84,-1,-2
"PANTONE 4270 C",#978671,57,3,14
"PANTONE 4271 C",#907A6C,53,6,11
"PANTONE 4272 C",#816B61,47,7,9
"PANTONE 4273 C",#4F4746,31,3,2
"PANTONE 4274 C",#AFB7BB,74,-2,-3
"PANTONE 4275 C",#ABAFAC,71,-2,1
"PANTONE 4276 C",#9C9EA1,65,0,-2
"PANTONE 4277 C",#8D8A91,58,2,-3
"PANTONE 4278 C",#7E7E84,53,1,-3
"PANTONE 4279 C",#5A5358,36,4,-2
"PANTONE 428 C",#C0C8CC,80,-2,-3
"PANTONE 4280 C",#222A37,17,0,-9
"PANTONE 4281 C",#B0B0B0,72,0,0
"PANTONE 4282 C",#ADAAAB,70,1,0
"PANTONE 4283 C",#A7A2A3,67,2,0
"PANTONE 4284 C",#706B75,46,4,-5
"PANTONE 4285 C",#67616A,42,4,-4
"PANTONE 4286 C",#5C555E,37,5,-4
"PANTONE 4287 C",#454142,28,2,0
"PANTONE 4288 C",#B6BDB6,76,-4,3
"PANTONE 4289 C",#989898,63,0,0
"PANTONE 429 C",#A0AAAE,69,-3,-3
"PANTONE 4290 C",#8F8A8B,58,2,0
"PANTONE 4291 C",#746E6E,47,2,1
"PANTONE 4292 C",#726E71,47,2,-1
"PANTONE 4293 C",#625C65,40,4,-4
"PANTONE 4294 C",#545155,35,2,-2
"PANTONE 430 C",#7B8890,56,-3,-6
"PANTONE 431 C",#586871,43,-4,-7
"PANTONE 432 C",#2F4049,26,-4,-8
"PANTONE 433 C",#19252F,14,-2,-8
"PANTONE 434 C",#CEC4C6,80,4,0
"PANTONE 435 C",#BFB3B6,74,5,0
"PANTONE 436 C",#AB9A9E,65,7,0
