code,hex,lab_l,lab_a,lab_b
"PANTONE 10296 C",#00A08F,59,-41,-1
"PANTONE 10297 C",#009E88,58,-41,1
"PANTONE 10298 C",#86A289,64,-15,10
"PANTONE 10299 C",#769C7C,61,-20,13
"PANTONE 103 C",#CBA80F,70,0,71
"PANTONE 10300 C",#689971,59,-25,16
"PANTONE 10301 C",#599665,57,-31,20
"PANTONE 10302 C",#469058,54,-36,23
"PANTONE 10303 C",#2B8A4D,51,-42,25
"PANTONE 10304 C",#8EA484,65,-14,14
"PANTONE 10305 C",#83A174,63,-19,20
"PANTONE 10306 C",#769E68,61,-24,24
"PANTONE 10307 C",#68975B,58,-28,27
"PANTONE 10308 C",#5A9450,56,-33,30
"PANTONE 10309 C",#499141,54,-39,35
"PANTONE 10310 C",#96A195,65,-6,5
"PANTONE 10311 C",#869582,60,-9,8
"PANTONE 10312 C",#7A8E77,57,-12,10
"PANTONE 10313 C",#6D8267,52,-13,12
"PANTONE 10314 C",#61785A,48,-15,14
"PANTONE 10315 C",#556F50,44,-16,14
"PANTONE 10316 C",#99A980,67,-13,19
"PANTONE 10317 C",#92A86F,66,-18,27
"PANTONE 10318 C",#85A560,64,-23,32
"PANTONE 10319 C",#7EA452,63,-27,38
"PANTONE 10320 C",#75A646,63,-33,44
"PANTONE 10321 C",#67A335,61,-38,49
"PANTONE 10322 C",#A8AC79,69,-10,26
"PANTONE 10323 C",#A2A863,67,-13,35
"PANTONE 10324 C",#A2A955,67,-15,42
"PANTONE 10325 C",#9CA744,66,-18,49
"PANTONE 10326 C",#96A633,65,-21,55
"PANTONE 10327 C",#94AA21,66,-25,62
"PANTONE 10328 C",#999E7D,64,-8,17
"PANTONE 10329 C",#8E986C,61,-11,22
"PANTONE 10330 C",#848E5B,57,-12,26
"PANTONE 10331 C",#7C8650,54,-13,28
"PANTONE 10332 C",#727F43,51,-15,31
"PANTONE 10333 C",#677636,47,-16,33
"PANTONE 10334 C",#9D9985,63,-2,11
"PANTONE 10335 C",#969176,60,-3,15
"PANTONE 10336 C",#8F8665,56,-2,19
"PANTONE 10337 C",#867C58,52,-2,21
"PANTONE 10338 C",#7E754C,49,-3,24
"PANTONE 10339 C",#756B3D,45,-3,27
"PANTONE 10340 C",#A1947F,62,1,13
"PANTONE 10341 C",#9E8F71,60,1,18
"PANTONE 10342 C",#96845E,56,1,23
"PANTONE 10343 C",#8E7A51,52,2,25
"PANTONE 10344 C",#887243,49,2,29
"PANTONE 10345 C",#7E6836,45,2,31
"PANTONE 10346 C",#A8967E,63,3,15
"PANTONE 10347 C",#A28A6B,59,4,20
"PANTONE 10348 C",#9E815F,56,6,23
"PANTONE 10349 C",#987A4F,53,6,28
"PANTONE 10350 C",#927144,50,7,30
"PANTONE 10351 C",#8B6A37,47,7,33
"PANTONE 10352 C",#AB9F90,66,2,9
"PANTONE 10353 C",#A89278,62,4,17
"PANTONE 10354 C",#A68966,59,6,23
"PANTONE 10355 C",#A38058,56,8,27
"PANTONE 10356 C",#9C7849,53,8,31
"PANTONE 10357 C",#946D3C,49,10,33
"PANTONE 10358 C",#A68F7B,61,5,14
"PANTONE 10359 C",#A0876B,58,5,19
"PANTONE 10360 C",#9B7B5C,54,8,22
"PANTONE 10361 C",#92714D,50,8,25
"PANTONE 10362 C",#86643E,45,9,27
"PANTONE 10363 C",#7E5A31,41,10,29
"PANTONE 10364 C",#AA9888,64,4,11
"PANTONE 10365 C",#A7886F,59,8,18
"PANTONE 10366 C",#A37C5C,55,11,23
"PANTONE 10367 C",#9C704E,51,13,26
"PANTONE 10368 C",#96643F,47,16,29
"PANTONE 10369 C",#8E5933,43,18,31
"PANTONE 10370 C",#A39A92,64,2,5
"PANTONE 10371 C",#98897A,58,3,10
"PANTONE 10372 C",#927D6D,54,5,12
"PANTONE 10373 C",#866D5B,48,7,14
"PANTONE 10374 C",#7B604F,43,8,14
"PANTONE 10375 C",#715742,39,8,16
"PANTONE 10376 C",#948983,58,3,5
"PANTONE 10377 C",#8A7C74,53,4,6
"PANTONE 10378 C",#826E63,48,6,9
"PANTONE 10379 C",#796459,44,7,9
"PANTONE 10380 C",#6F5A4D,40,6,11
"PANTONE 10381 C",#614C3F,34,7,11
"PANTONE 10382 C",#938F92,60,2,-1
